Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,HasCabin,FarePerPerson,Sex_encoded,Embarked_encoded,Title_encoded,Deck_encoded,AgeGroup_encoded
3,18.0,1,1,20.2125,3,0,0,6.7375,1,2,2,8,3
3,21.5,8,2,69.55,11,0,0,6.322727272727272,0,2,1,8,0
3,21.5,1,0,15.5,2,0,0,7.75,0,1,1,8,0
2,28.0,0,1,33.0,2,0,0,16.5,1,2,4,8,0
3,55.5,0,0,8.05,1,1,0,8.05,1,2,2,8,0
1,24.0,0,1,247.5208,2,0,1,123.7604,1,0,2,1,0
1,40.0,0,0,0.0,1,1,0,0.0,1,2,2,8,0
3,21.5,1,0,16.1,2,0,0,8.05,0,2,3,8,0
3,25.0,1,2,23.45,4,0,0,5.8625,1,2,2,8,0
3,25.0,8,2,69.55,11,0,0,6.322727272727272,1,2,0,8,0
2,29.0,1,0,26.0,2,0,0,13.0,0,2,3,8,0
1,58.0,0,1,153.4625,2,0,1,76.73125,0,2,3,2,0
3,26.0,0,0,7.925,1,1,0,7.925,0,2,1,8,0
1,44.0,0,1,57.9792,2,0,1,28.9896,0,0,3,1,0
3,25.0,0,0,7.225,1,1,0,7.225,1,0,2,8,0
3,32.0,0,0,8.3625,1,1,0,8.3625,1,2,2,8,0
2,26.0,0,0,10.5,1,1,0,10.5,1,2,2,8,0
3,16.0,0,0,8.05,1,1,0,8.05,1,2,2,8,3
3,19.0,0,0,7.775,1,1,0,7.775,1,2,2,8,0
3,25.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
3,48.0,0,0,7.8542,1,1,0,7.8542,1,2,2,8,0
3,25.0,0,0,7.75,1,1,0,7.75,1,1,2,8,0
3,9.0,5,2,46.9,8,0,0,5.8625,1,2,0,8,1
1,35.0,1,0,83.475,2,0,1,41.7375,0,2,3,2,0
3,12.0,1,0,11.2417,2,0,0,5.62085,1,0,0,8,1
3,31.0,0,0,7.8542,1,1,0,7.8542,0,2,1,8,0
2,27.0,1,0,13.8583,2,0,0,6.92915,0,0,1,8,0
1,43.0,0,1,211.3375,2,0,1,105.66875,0,2,3,1,0
3,30.5,0,0,7.75,1,1,0,7.75,0,1,1,8,0
3,34.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
2,30.0,0,0,0.0,1,1,0,0.0,1,2,2,8,0
2,23.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
3,24.0,0,2,16.7,3,0,1,5.566666666666666,0,2,3,6,0
2,39.0,0,0,26.0,1,1,0,26.0,1,2,2,8,0
2,24.0,0,0,13.0,1,1,1,13.0,0,2,1,5,0
3,25.0,0,0,7.8292,1,1,0,7.8292,1,1,2,8,0
3,0.75,2,1,19.2583,4,0,0,4.814575,0,0,1,8,1
2,34.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
3,23.0,0,0,9.225,1,1,0,9.225,1,2,2,8,0
2,42.0,1,0,26.0,2,0,0,13.0,0,2,3,8,0
3,25.0,0,0,8.4583,1,1,0,8.4583,1,1,2,8,0
3,22.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
2,0.83,0,2,29.0,3,0,0,9.666666666666666,1,2,0,8,1
3,21.5,0,0,7.55,1,1,0,7.55,0,2,1,8,0
2,52.0,0,0,13.5,1,1,0,13.5,1,2,2,8,0
3,17.0,1,0,7.0542,2,0,0,3.5271,1,2,2,8,3
1,49.0,1,0,89.1042,2,0,1,44.5521,1,0,2,2,0
3,44.0,0,0,7.925,1,1,0,7.925,1,2,2,8,0
3,6.0,0,1,12.475,2,0,1,6.2375,1,2,0,4,1
1,64.0,0,0,26.0,1,1,0,26.0,1,2,2,8,2
3,18.0,0,0,7.775,1,1,0,7.775,0,2,1,8,3
3,19.0,0,0,14.5,1,1,0,14.5,1,2,2,8,0
3,26.0,1,2,20.575,4,0,0,5.14375,1,2,2,8,0
2,43.0,1,1,26.25,3,0,0,8.75,1,2,2,8,0
3,25.0,0,0,24.15,1,1,0,24.15,1,1,2,8,0
3,23.0,0,0,7.925,1,1,0,7.925,0,2,1,8,0
3,16.0,4,1,39.6875,6,0,0,6.614583333333333,1,2,2,8,3
1,36.0,0,2,71.0,3,0,1,23.666666666666668,0,2,1,1,0
1,22.0,0,1,55.0,2,0,1,27.5,0,2,1,4,0
3,19.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
3,21.5,0,0,7.8792,1,1,0,7.8792,0,1,1,8,0
3,47.0,0,0,9.0,1,1,0,9.0,1,2,2,8,0
2,40.0,0,0,15.75,1,1,0,15.75,0,2,3,8,0
3,20.0,1,0,9.825,2,0,0,4.9125,0,2,1,8,0
2,36.0,1,0,26.0,2,0,0,13.0,0,2,3,8,0
3,18.0,1,1,7.8542,3,0,0,2.6180666666666665,1,2,2,8,3
2,18.0,0,0,11.5,1,1,0,11.5,1,2,2,8,3
3,32.0,0,0,56.4958,1,1,0,56.4958,1,2,2,8,0
3,33.0,0,0,7.8958,1,1,0,7.8958,1,0,2,8,0
1,35.0,0,0,26.55,1,1,0,26.55,1,0,2,8,0
1,64.0,1,4,263.0,6,0,1,43.833333333333336,1,2,2,2,2
1,52.0,1,1,79.65,3,0,1,26.55,1,2,2,4,0
3,24.0,0,3,19.2583,4,0,0,4.814575,0,0,3,8,0
3,61.0,0,0,6.2375,1,1,0,6.2375,1,2,2,8,2
2,24.0,0,0,10.5,1,1,0,10.5,1,2,2,8,0
3,43.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
2,34.0,0,0,10.5,1,1,1,10.5,0,2,3,5,0
3,63.0,0,0,9.5875,1,1,0,9.5875,0,2,3,8,2
1,24.0,0,0,69.3,1,1,1,69.3,0,0,1,1,0
1,38.0,1,0,71.2833,2,0,1,35.64165,0,0,3,2,0
3,21.0,0,0,7.25,1,1,0,7.25,1,2,2,8,0
1,45.0,1,1,164.8667,3,0,0,54.95556666666667,0,2,3,8,0
3,16.0,1,3,34.375,5,0,0,6.875,1,2,2,8,3
3,20.0,1,0,7.925,2,0,0,3.9625,1,2,2,8,0
2,30.0,0,0,15.05,1,1,0,15.05,1,0,2,8,0
3,41.0,0,5,39.6875,6,0,0,6.614583333333333,0,2,3,8,0
2,30.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
3,29.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
3,3.0,3,1,21.075,5,0,0,4.215,0,2,1,8,1
2,3.0,1,1,26.0,3,0,1,8.666666666666666,1,2,0,5,1
2,54.0,1,0,26.0,2,0,0,13.0,1,2,4,8,0
3,28.0,2,0,7.925,3,0,0,2.6416666666666666,1,2,2,8,0
3,36.0,0,0,7.4958,1,1,0,7.4958,1,2,2,8,0
1,48.0,0,0,26.55,1,1,1,26.55,1,2,2,4,0
3,31.0,0,0,8.6833,1,1,0,8.6833,0,2,3,8,0
3,26.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
3,25.0,3,1,25.4667,5,0,0,5.0933399999999995,1,2,0,8,0
3,0.42,0,1,8.5167,2,0,0,4.25835,1,0,0,8,1
3,25.0,0,0,7.775,1,1,0,7.775,0,2,1,8,0
1,40.0,0,0,52.0,1,1,1,52.0,1,2,2,0,0
3,38.0,0,0,8.6625,1,1,0,8.6625,1,2,2,8,0
3,25.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
3,25.0,1,1,15.2458,3,0,0,5.081933333333333,1,0,0,8,0
3,15.0,1,1,7.2292,3,0,0,2.409733333333333,1,0,2,8,3
2,35.0,0,0,26.0,1,1,0,26.0,1,2,2,8,0
3,25.0,0,0,7.775,1,1,0,7.775,1,2,2,8,0
1,24.0,0,0,79.2,1,1,1,79.2,1,0,2,1,0
1,36.0,0,0,40.125,1,1,1,40.125,1,0,2,0,0
3,22.0,0,0,7.775,1,1,0,7.775,0,2,1,8,0
1,50.0,2,0,133.65,3,0,0,44.550000000000004,1,2,4,8,0
3,25.0,0,0,7.75,1,1,0,7.75,1,1,2,8,0
3,45.5,0,0,7.225,1,1,0,7.225,1,0,2,8,0
3,33.0,0,0,7.775,1,1,0,7.775,1,2,2,8,0
3,19.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
2,18.0,0,0,13.0,1,1,0,13.0,1,2,2,8,3
3,16.0,0,0,7.75,1,1,0,7.75,0,1,1,8,3
1,40.0,0,0,30.0,1,1,1,30.0,1,2,2,3,0
1,40.0,0,0,29.7,1,1,1,29.7,1,0,2,2,0
1,48.0,1,0,76.7292,2,0,1,38.3646,1,0,2,3,0
3,22.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
1,29.0,0,0,30.0,1,1,1,30.0,1,2,2,3,0
1,40.0,0,0,25.925,1,1,0,25.925,1,2,2,8,0
1,38.0,0,1,153.4625,2,0,1,76.73125,1,2,2,2,0
3,44.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
2,3.0,1,1,18.75,3,0,0,6.25,1,2,0,8,1
1,18.0,1,0,227.525,2,0,1,113.7625,0,0,3,2,3
1,18.0,1,0,108.9,2,0,1,54.45,1,0,2,2,3
3,25.0,1,0,24.15,2,0,0,12.075,1,1,2,8,0
3,2.0,3,1,21.075,5,0,0,4.215,1,2,0,8,1
1,35.0,0,0,512.3292,1,1,1,512.3292,1,0,2,1,0
3,74.0,0,0,7.775,1,1,0,7.775,1,2,2,8,2
2,31.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
3,28.5,0,0,16.1,1,1,0,16.1,1,2,2,8,0
1,56.0,0,0,30.6958,1,1,1,30.6958,1,0,2,0,0
3,26.0,1,0,7.8542,2,0,0,3.9271,1,2,2,8,0
3,32.0,0,0,7.8542,1,1,0,7.8542,1,2,2,8,0
3,25.0,0,0,7.2292,1,1,0,7.2292,1,0,2,8,0
1,40.0,0,0,31.0,1,1,1,31.0,1,0,2,0,0
1,27.0,0,0,76.7292,1,1,1,76.7292,1,0,2,3,0
3,25.0,0,0,15.5,1,1,0,15.5,1,1,2,8,0
3,38.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
3,1.0,4,1,39.6875,6,0,0,6.614583333333333,1,2,0,8,1
2,30.0,0,0,0.0,1,1,0,0.0,1,2,2,8,0
3,25.0,0,0,7.7292,1,1,0,7.7292,1,1,2,8,0
2,0.67,1,1,14.5,3,0,0,4.833333333333333,1,2,0,8,1
3,25.0,1,0,15.5,2,0,0,7.75,1,1,2,8,0
3,2.0,0,1,12.2875,2,0,0,6.14375,0,2,1,8,1
3,18.0,0,0,9.8417,1,1,0,9.8417,0,2,1,8,3
1,51.0,1,0,77.9583,2,0,1,38.97915,0,2,3,3,0
2,29.0,1,0,27.7208,2,0,0,13.8604,1,0,2,8,0
3,49.0,0,0,0.0,1,1,0,0.0,1,2,2,8,0
3,24.0,0,0,9.5,1,1,0,9.5,1,2,2,8,0
3,31.0,1,1,20.525,3,0,0,6.841666666666666,0,2,3,8,0
3,45.0,0,0,7.75,1,1,0,7.75,0,2,1,8,0
3,32.0,0,0,7.925,1,1,0,7.925,1,2,2,8,0
3,18.0,0,1,14.4542,2,0,0,7.2271,0,0,1,8,3
2,44.0,1,0,26.0,2,0,0,13.0,0,2,3,8,0
1,47.0,1,1,52.5542,3,0,1,17.518066666666666,0,2,3,3,0
2,36.5,0,2,26.0,3,0,1,8.666666666666666,1,2,2,5,0
2,30.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
2,27.0,0,0,10.5,1,1,1,10.5,0,2,1,4,0
3,29.0,0,0,9.5,1,1,0,9.5,1,2,2,8,0
1,71.0,0,0,49.5042,1,1,0,49.5042,1,0,2,8,2
1,52.0,1,1,93.5,3,0,1,31.166666666666668,0,2,3,1,0
3,43.0,1,6,46.9,8,0,0,5.8625,0,2,3,8,0
3,22.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
3,21.5,2,0,23.25,3,0,0,7.75,0,1,1,8,0
1,35.0,0,1,55.0,2,0,1,27.5,0,2,3,4,0
3,26.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
3,25.0,1,0,7.925,2,0,0,3.9625,0,2,1,8,0
1,40.0,0,0,0.0,1,1,1,0.0,1,2,2,1,0
1,31.0,0,2,164.8667,3,0,1,54.95556666666667,0,2,1,2,0
3,45.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
3,22.0,0,0,7.25,1,1,0,7.25,1,2,2,8,0
1,49.0,1,0,76.7292,2,0,1,38.3646,0,0,3,3,0
2,22.0,1,2,41.5792,4,0,0,10.3948,0,0,3,8,0
3,4.0,0,2,22.025,3,0,0,7.341666666666666,0,2,1,8,1
3,29.0,0,2,15.2458,3,0,0,5.081933333333333,0,0,3,8,0
2,34.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
1,48.0,0,0,25.9292,1,1,1,25.9292,0,2,3,3,0
2,27.0,1,0,21.0,2,0,0,10.5,0,2,3,8,0
1,54.0,1,0,59.4,2,0,0,29.7,0,0,3,8,0
2,30.0,0,0,13.8625,1,1,0,13.8625,1,0,2,8,0
2,19.0,1,0,26.0,2,0,0,13.0,0,2,3,8,0
1,22.0,1,0,66.6,2,0,1,33.3,0,2,3,2,0
1,45.5,0,0,28.5,1,1,1,28.5,1,2,2,2,0
1,40.0,0,0,27.7208,1,1,0,27.7208,1,0,2,8,0
3,23.0,0,0,7.8542,1,1,0,7.8542,1,2,2,8,0
3,30.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
3,25.0,0,0,7.2292,1,1,0,7.2292,1,0,2,8,0
2,34.0,1,0,21.0,2,0,0,10.5,1,2,2,8,0
3,31.0,0,0,7.925,1,1,0,7.925,1,2,2,8,0
3,25.0,8,2,69.55,11,0,0,6.322727272727272,1,2,2,8,0
3,40.0,1,4,27.9,6,0,0,4.6499999999999995,1,2,2,8,0
3,21.5,0,0,7.75,1,1,0,7.75,0,1,1,8,0
2,32.0,0,0,10.5,1,1,0,10.5,1,2,2,8,0
3,20.0,0,0,9.225,1,1,0,9.225,1,2,2,8,0
1,27.0,0,2,211.5,3,0,1,70.5,1,0,2,2,0
2,32.5,0,0,13.0,1,1,1,13.0,0,2,1,4,0
1,44.0,0,0,27.7208,1,1,1,27.7208,0,0,3,1,0
2,23.0,0,0,15.0458,1,1,0,15.0458,1,0,2,8,0
3,34.0,1,1,14.4,3,0,0,4.8,1,2,2,8,0
2,32.0,1,0,26.0,2,0,0,13.0,1,2,2,8,0
1,4.0,0,2,81.8583,3,0,1,27.2861,1,2,0,0,1
3,2.0,4,2,31.275,7,0,0,4.4678571428571425,0,2,1,8,1
2,30.0,0,0,0.0,1,1,0,0.0,1,2,2,8,0
2,25.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
3,24.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
3,21.0,0,0,8.6625,1,1,0,8.6625,1,2,2,8,0
2,31.0,0,0,10.5,1,1,0,10.5,1,2,2,8,0
2,54.0,0,0,14.0,1,1,0,14.0,1,2,4,8,0
3,33.0,3,0,15.85,4,0,0,3.9625,0,2,3,8,0
2,23.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
2,19.0,1,1,36.75,3,0,0,12.25,1,2,2,8,0
3,65.0,0,0,7.75,1,1,0,7.75,1,1,2,8,2
3,25.0,1,0,19.9667,2,0,0,9.98335,1,2,2,8,0
2,42.0,0,0,13.0,1,1,0,13.0,0,2,3,8,0
2,18.0,0,0,11.5,1,1,0,11.5,1,2,2,8,3
2,27.0,0,0,13.0,1,1,0,13.0,1,2,2,8,0
1,54.0,0,1,77.2875,2,0,1,38.64375,1,2,2,3,0
3,25.0,0,0,7.2292,1,1,0,7.2292,1,0,2,8,0
1,47.0,0,0,52.0,1,1,1,52.0,1,2,2,2,0
3,11.0,5,2,46.9,8,0,0,5.8625,1,2,0,8,1
2,21.0,2,0,73.5,3,0,0,24.5,1,2,2,8,0
2,29.0,0,0,10.5,1,1,0,10.5,1,2,2,8,0
3,39.0,0,0,24.15,1,1,0,24.15,1,2,2,8,0
3,39.0,0,5,29.125,6,0,0,4.854166666666667,0,1,3,8,0
3,36.0,1,0,15.55,2,0,0,7.775,1,2,2,8,0
1,17.0,1,0,108.9,2,0,1,54.45,0,0,3,2,3
3,25.0,0,0,8.6625,1,1,0,8.6625,1,2,2,8,0
3,11.0,4,2,31.275,7,0,0,4.4678571428571425,0,2,1,8,1
3,47.0,1,0,14.5,2,0,0,7.25,0,2,3,8,0
1,40.0,0,0,26.0,1,1,1,26.0,1,2,2,0,0
3,38.0,1,5,31.3875,7,0,0,4.483928571428572,0,2,3,8,0
2,28.0,0,0,12.35,1,1,1,12.35,0,1,1,4,0
1,19.0,0,0,30.0,1,1,1,30.0,0,2,1,1,0
1,48.0,1,0,39.6,2,0,1,19.8,0,0,4,0,0
3,25.0,0,0,7.7375,1,1,0,7.7375,1,1,2,8,0
1,35.0,1,0,146.5208,2,0,1,73.2604,0,0,3,1,0
1,40.0,0,0,0.0,1,1,1,0.0,1,2,2,1,0
3,31.0,0,0,7.775,1,1,0,7.775,1,2,2,8,0
3,8.0,3,1,21.075,5,0,0,4.215,0,2,1,8,1
3,26.0,0,0,18.7875,1,1,0,18.7875,1,0,2,8,0
2,24.0,2,0,73.5,3,0,0,24.5,1,2,2,8,0
3,22.0,0,0,7.2292,1,1,0,7.2292,1,0,2,8,0
2,4.0,1,1,23.0,3,0,0,7.666666666666667,0,2,1,8,1
1,45.0,0,0,26.55,1,1,0,26.55,1,2,2,8,0
1,42.0,0,0,227.525,1,1,0,227.525,0,0,1,8,0
1,32.0,0,0,30.5,1,1,1,30.5,1,0,4,1,0
3,51.0,0,0,8.05,1,1,0,8.05,1,2,2,8,0
3,14.5,1,0,14.4542,2,0,0,7.2271,0,0,1,8,3
3,25.0,0,0,7.05,1,1,0,7.05,1,2,2,8,0
3,27.0,1,0,14.4542,2,0,0,7.2271,1,0,2,8,0
1,40.0,0,0,26.55,1,1,1,26.55,1,2,2,2,0
3,8.0,4,1,29.125,6,0,0,4.854166666666667,1,1,0,8,1
2,42.0,1,0,27.0,2,0,0,13.5,1,2,2,8,0
1,40.0,1,1,134.5,3,0,1,44.833333333333336,0,0,3,4,0
3,5.0,4,2,31.3875,7,0,0,4.483928571428572,0,2,1,8,1
3,30.0,0,0,7.8958,1,1,0,7.8958,1,2,2,8,0
3,21.5,0,0,7.75,1,1,0,7.75,0,1,1,8,0
3,4.0,4,1,29.125,6,0,0,4.854166666666667,1,1,0,8,1
2,0.83,1,1,18.75,3,0,0,6.25,1,2,0,8,1
